Source Target Weight
寇黑塔 费格伦 4
寇黑塔 女儿 20
寇黑塔 梅莉丝 6
寇黑塔 谢谢 24
寇黑塔 凯莉 4
寇黑塔 芬恩 4
寇黑塔 妈妈 8
寇黑塔 谢谢您 4
寇黑塔 史托维克 4
寇黑塔 艾米许 6
寇黑塔 古董 6
寇黑塔 梅兰妮 6
寇黑塔 欧多利欧 26
寇黑塔 宝贝 8
寇黑塔 儿子 4
寇黑塔 罗伯特 4
寇黑塔 小塞 6
寇黑塔 安静 6
那本书 女儿 10
那本书 谢谢 12
那本书 妈妈 4
那本书 欧多利欧 13
那本书 宝贝 4
罗 女儿 10
罗 谢谢 12
罗 妈妈 4
罗 欧多利欧 13
罗 宝贝 4
祝福 女儿 10
祝福 谢谢 12
祝福 妈妈 4
祝福 欧多利欧 13
祝福 宝贝 4
